response_id;birth_year;gender;seniority;industry;household;metro_regional;remote_frequency;remote_preference;collaboration_easy;promotion_reduced;regular_breaks;remote_employer_advantages;remote_with_paycut;barrier_caring_responsibility;barrier_connectivity;barrier_systems_software;barrier_collaboration_remotely;barrier_poor_management;barrier_equipment;barrier_isolation;barrier_costs;barrier_cyber_security;barrier_non_remote_tasks;barrier_workspace;barrier_motivation;barrier_management;barrier_living_situation;barrier_skills;barrier_health_safety;biggest_barrier_hybrid;smallest_barrier_hybrid;remote_feel_better;remote_more_active;colleagues_in_person;productivity
1439;1978;Female;Between 1 and 5 years;Professional, Scientific and Technical;Group household;Metro;80%;80%;Somewhat agree;Strongly disagree;Somewhat agree;Somewhat Positive;No;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Difficulty collaborating with remote colleagues;Interruptions;Neither agree nor disagree;Somewhat disagree;Somewhat agree;My productivity is about same when I work remotely
1440;1979;Female;More than 5 years;Professional, Scientific and Technical;Couple with no dependent children;Metro;100% - I spent all of my time remote working;80%;Somewhat agree;Somewhat disagree;Somewhat agree;Strongly Positive;Yes;Not a barrier for me;Not a barrier for me;Somewhat worsened;Somewhat worsened;Significantly worsened;Significantly worsened;Stayed about the same;Significantly improved;Stayed about the same;Not a barrier for me;Somewhat improved;Somewhat worsened;Somewhat worsened;Significantly improved;Not a barrier for me;Somewhat improved;NA;NA;Neither agree nor disagree;Strongly agree;Neither agree nor disagree;My productivity is about same when I work remotely
1441;1986;Female;More than 5 years;Health Care and Social Assistance;Multiple family household;Metro;Rarely or never;20%;Strongly disagree;Neither agree nor disagree;Strongly disagree;Neither positive nor negative;No;Not a barrier for me;Significantly improved;Somewhat improved;Significantly improved;Somewhat improved;Significantly improved;Somewhat improved;Not a barrier for me;Stayed about the same;Significantly worsened;Stayed about the same;Not a barrier for me;Significantly worsened;Somewhat worsened;Not a barrier for me;Not a barrier for me;Interruptions;Lack of privacy;Neither agree nor disagree;Somewhat disagree;Somewhat agree;I知 20% less productive when working remotely
1442;1983;Female;Between 1 and 5 years;Education and Training;Single person;Metro;40%;100% - All of my time;Neither agree nor disagree;Somewhat disagree;Somewhat agree;Neither positive nor negative;Yes;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;NA;NA;Strongly agree;Strongly agree;Somewhat agree;I知 50% more productive when working remotely (or more)
1443;1977;Male;Between 1 and 5 years;Financial and Insurance;Couple with dependent children;Metro;100% - I spent all of my time remote working;100% - All of my time;Somewhat agree;Somewhat disagree;Somewhat agree;Somewhat Positive;No;Somewhat improved;Stayed about the same;Somewhat improved;Somewhat improved;Stayed about the same;Somewhat worsened;Somewhat worsened;Somewhat worsened;Stayed about the same;Stayed about the same;Significantly worsened;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Somewhat worsened;Interruptions;Difficulty collaborating with remote colleagues;Somewhat agree;Somewhat disagree;Somewhat agree;I知 20% less productive when working remotely
1444;1984;Female;More than 5 years;Health Care and Social Assistance;Couple with dependent children;Metro;Less than 10% of my time;50% - About half of my time;Somewhat agree;Somewhat disagree;Somewhat agree;Neither positive nor negative;Yes;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat worsened;NA;NA;Somewhat disagree;Neither agree nor disagree;Strongly agree;I知 20% less productive when working remotely
1445;1984;Female;More than 5 years;Education and Training;Group household;Metro;Rarely or never;80%;Somewhat agree;Strongly disagree;Somewhat disagree;Somewhat Positive;No;Not a barrier for me;Significantly improved;Somewhat improved;Not a barrier for me;Not a barrier for me;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Significantly worsened;Somewhat worsened;Significantly improved;Significantly worsened;Stayed about the same;Significantly improved;Somewhat worsened;NA;NA;Strongly agree;Strongly agree;Neither agree nor disagree;I知 30% more productive when working remotely
1446;1981;Female;More than 5 years;Construction;Couple with dependent children;Metro;30%;50% - About half of my time;Somewhat agree;Somewhat disagree;Neither agree nor disagree;Strongly Positive;No;Stayed about the same;Not a barrier for me;Not a barrier for me;Not a barrier for me;Stayed about the same;Not a barrier for me;Not a barrier for me;Stayed about the same;Not a barrier for me;Not a barrier for me;Somewhat worsened;Somewhat improved;Significantly worsened;Not a barrier for me;Not a barrier for me;Not a barrier for me;NA;NA;Somewhat agree;Somewhat agree;Somewhat disagree;I知 30% more productive when working remotely
1447;1987;Female;Between 1 and 5 years;Health Care and Social Assistance;Single person;Metro;Less than 10% of my time;20%;Somewhat agree;Neither agree nor disagree;Neither agree nor disagree;Somewhat Positive;Yes;Stayed about the same;Not a barrier for me;Significantly improved;Somewhat improved;Somewhat worsened;Somewhat improved;Not a barrier for me;Stayed about the same;Somewhat worsened;Somewhat worsened;Stayed about the same;Stayed about the same;Somewhat worsened;Somewhat improved;Stayed about the same;Stayed about the same;Lack of privacy;Noisy work environment;Somewhat agree;Somewhat agree;Somewhat disagree;I知 10% more productive when working remotely
1448;1984;Male;Between 1 and 5 years;Rental, Hiring and Real Estate;Couple with dependent children;Metro;80%;60%;Somewhat agree;Neither agree nor disagree;Somewhat agree;Neither positive nor negative;No;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat worsened;Stayed about the same;Somewhat worsened;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Somewhat worsened;Somewhat worsened;Not a barrier for me;Stayed about the same;Not a barrier for me;Somewhat worsened;Difficulty collaborating with remote colleagues;Lack of privacy;Somewhat agree;Somewhat disagree;Somewhat agree;I知 10% less productive when working remotely
1449;1978;Female;Between 1 and 5 years;Financial and Insurance;Couple with dependent children;Metro;80%;100% - All of my time;Neither agree nor disagree;Neither agree nor disagree;Somewhat agree;Somewhat Positive;Yes;Somewhat improved;Stayed about the same;Stayed about the same;Somewhat worsened;Somewhat worsened;Stayed about the same;Somewhat worsened;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;NA;NA;Strongly agree;Somewhat disagree;Somewhat agree;I知 20% less productive when working remotely
1450;1990;Male;Between 6 and 12 months;Education and Training;Couple with dependent children;Metro;50% - I spent about half of my time remote working;50% - About half of my time;Somewhat agree;Strongly agree;Strongly agree;Strongly Positive;Yes;Significantly improved;Somewhat improved;Significantly improved;Somewhat improved;Somewhat improved;Significantly improved;Somewhat improved;Significantly improved;Somewhat improved;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Somewhat improved;Significantly improved;NA;NA;Strongly agree;Strongly agree;Strongly agree;I知 50% more productive when working remotely (or more)
1451;1982;Female;Between 1 and 5 years;Other Services;Other one family household;Metro;100% - I spent all of my time remote working;100% - All of my time;Strongly agree;Neither agree nor disagree;Strongly disagree;Strongly Positive;No;Significantly improved;Significantly improved;Significantly improved;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Not a barrier for me;Stayed about the same;Stayed about the same;Significantly worsened;Stayed about the same;Stayed about the same;Somewhat worsened;NA;NA;Strongly agree;Somewhat disagree;Strongly disagree;My productivity is about same when I work remotely
1452;1989;Male;Between 1 and 5 years;Education and Training;One parent family with dependent children;Metro;Rarely or never;I would not have preferred to work remotely;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither positive nor negative;No;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;NA;NA;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;I知 50% more productive when working remotely (or more)
1453;1994;Female;Between 1 and 5 years;Other Services;One parent family with dependent children;Metro;50% - I spent about half of my time remote working;50% - About half of my time;Strongly agree;Strongly disagree;Neither agree nor disagree;Somewhat Positive;No;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Lack of privacy;Difficulty collaborating with remote colleagues;Somewhat agree;Somewhat agree;Somewhat agree;My productivity is about same when I work remotely
1454;1998;Male;Between 6 and 12 months;Information Media and Telecommunications;Single person;Metro;80%;80%;Somewhat agree;Strongly disagree;Strongly disagree;Strongly Positive;No;Significantly improved;Significantly improved;Significantly improved;Stayed about the same;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Not a barrier for me;Not a barrier for me;Significantly improved;Significantly improved;Significantly improved;Not a barrier for me;Significantly improved;Significantly improved;Lack of privacy;Interruptions;Strongly agree;Strongly agree;Strongly agree;I知 50% more productive when working remotely (or more)
1455;1989;Male;More than 5 years;Manufacturing;Couple with no dependent children;Metro;100% - I spent all of my time remote working;70%;Strongly agree;Strongly agree;Somewhat agree;Strongly Positive;Yes;Somewhat improved;Stayed about the same;Significantly improved;Significantly improved;Significantly improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Significantly improved;Significantly improved;Stayed about the same;Somewhat improved;Significantly improved;Somewhat improved;Interruptions;Lack of privacy;Strongly agree;Strongly agree;Strongly agree;I知 50% more productive when working remotely (or more)
1456;1999;Female;Between 6 and 12 months;Professional, Scientific and Technical;Group household;Metro;90%;100% - All of my time;Strongly agree;Neither agree nor disagree;Strongly disagree;Strongly Positive;No;Stayed about the same;Stayed about the same;Stayed about the same;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Somewhat worsened;Not a barrier for me;Not a barrier for me;Significantly improved;Stayed about the same;Not a barrier for me;Not a barrier for me;Stayed about the same;Not a barrier for me;NA;NA;Somewhat agree;Strongly agree;Somewhat agree;I知 50% more productive when working remotely (or more)
1457;1992;Male;Between 1 and 5 years;Transport, Postal and Warehousing;Couple with no dependent children;Metro;100% - I spent all of my time remote working;100% - All of my time;Strongly agree;Neither agree nor disagree;Somewhat agree;Somewhat Positive;No;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat worsened;Somewhat worsened;Somewhat improved;Stayed about the same;Stayed about the same;Significantly improved;Not a barrier for me;Somewhat improved;Somewhat improved;Not a barrier for me;Not a barrier for me;Somewhat improved;Somewhat improved;NA;NA;Strongly agree;Strongly agree;Neither agree nor disagree;I知 50% more productive when working remotely (or more)
1458;1994;Female;Between 6 and 12 months;Wholesale Trade;Couple with dependent children;Metro;30%;50% - About half of my time;Somewhat agree;Neither agree nor disagree;Strongly agree;Somewhat Positive;No;Significantly improved;Significantly improved;Somewhat improved;Significantly improved;Somewhat improved;Stayed about the same;Somewhat worsened;Stayed about the same;Significantly improved;Stayed about the same;Somewhat improved;Somewhat improved;Somewhat improved;Stayed about the same;Significantly improved;Significantly improved;NA;NA;Strongly agree;Somewhat agree;Neither agree nor disagree;I知 50% more productive when working remotely (or more)
1459;1993;Female;Between 1 and 5 years;Other Services;Couple with no dependent children;Metro;100% - I spent all of my time remote working;100% - All of my time;Strongly agree;Neither agree nor disagree;Strongly agree;Somewhat Positive;No;Somewhat improved;Stayed about the same;Stayed about the same;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Stayed about the same;Not a barrier for me;Not a barrier for me;Somewhat improved;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;NA;NA;Strongly agree;Neither agree nor disagree;Neither agree nor disagree;I知 50% more productive when working remotely (or more)
1460;1996;Female;More than 5 years;Rental, Hiring and Real Estate;Couple with dependent children;Regional;40%;40%;Strongly agree;Somewhat disagree;Strongly agree;Somewhat Positive;Yes;Stayed about the same;Somewhat improved;Somewhat improved;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Interruptions;Difficulty collaborating with remote colleagues;Strongly agree;Somewhat agree;Somewhat agree;My productivity is about same when I work remotely
1461;1973;Male;More than 5 years;Financial and Insurance;Couple with dependent children;Metro;50% - I spent about half of my time remote working;40%;Strongly agree;Strongly agree;Somewhat agree;Strongly Positive;Yes;Significantly improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;NA;NA;Strongly agree;Somewhat agree;Somewhat agree;I知 10% more productive when working remotely
1462;1987;Female;More than 5 years;Administrative and Support;Couple with dependent children;Regional;50% - I spent about half of my time remote working;50% - About half of my time;Strongly agree;Strongly disagree;Somewhat agree;Somewhat Negative;No;Significantly worsened;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;NA;NA;Strongly agree;Strongly agree;Somewhat disagree;I知 50% more productive when working remotely (or more)
1463;1976;Female;More than 5 years;Education and Training;Multiple family household;Metro;10%;I would not have preferred to work remotely;Strongly agree;Strongly disagree;Somewhat agree;Neither positive nor negative;No;Significantly worsened;Somewhat worsened;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat worsened;Significantly worsened;Significantly worsened;Stayed about the same;Significantly worsened;Somewhat worsened;Stayed about the same;Stayed about the same;Significantly worsened;Stayed about the same;Stayed about the same;Difficulty collaborating with remote colleagues;Lack of privacy;Neither agree nor disagree;Neither agree nor disagree;Strongly agree;I知 40% more productive when working remotely
1464;1997;Male;Between 1 and 5 years;Transport, Postal and Warehousing;Couple with dependent children;Metro;10%;20%;Somewhat agree;Strongly disagree;Somewhat disagree;Somewhat Positive;No;Not a barrier for me;Somewhat improved;Somewhat improved;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Somewhat improved;Stayed about the same;Not a barrier for me;Not a barrier for me;Not a barrier for me;Significantly improved;Not a barrier for me;Significantly improved;Lack of privacy;Noisy work environment;Strongly agree;Somewhat agree;Neither agree nor disagree;I知 40% more productive when working remotely
1465;1995;Male;More than 5 years;Financial and Insurance;Single person;Metro;100% - I spent all of my time remote working;100% - All of my time;Somewhat agree;Strongly agree;Strongly agree;Somewhat Negative;No;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Significantly improved;Stayed about the same;Somewhat worsened;Somewhat worsened;Significantly improved;Somewhat improved;Somewhat improved;Stayed about the same;Significantly improved;Somewhat improved;Stayed about the same;Stayed about the same;NA;NA;Strongly agree;Strongly agree;Neither agree nor disagree;My productivity is about same when I work remotely
1466;1980;Female;Between 1 and 5 years;Financial and Insurance;Couple with no dependent children;Metro;70%;80%;Somewhat agree;Neither agree nor disagree;Somewhat agree;Somewhat Positive;No;Not a barrier for me;Somewhat worsened;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat worsened;Stayed about the same;Stayed about the same;Not a barrier for me;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat worsened;Difficulty collaborating with remote colleagues;Noisy work environment;Neither agree nor disagree;Strongly agree;Somewhat agree;I知 20% less productive when working remotely
1467;1988;Male;Between 1 and 5 years;Financial and Insurance;Couple with no dependent children;Metro;80%;80%;Somewhat agree;Neither agree nor disagree;Somewhat disagree;Somewhat Positive;No;Not a barrier for me;Somewhat improved;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Somewhat worsened;Somewhat worsened;Somewhat improved;Stayed about the same;Somewhat improved;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;NA;NA;Neither agree nor disagree;Somewhat disagree;Somewhat agree;My productivity is about same when I work remotely
1468;1982;Female;Between 1 and 5 years;Information Media and Telecommunications;Single person;Metro;100% - I spent all of my time remote working;100% - All of my time;Strongly agree;Somewhat disagree;Somewhat agree;Strongly Positive;No;Stayed about the same;Stayed about the same;Somewhat improved;Significantly improved;Significantly improved;Stayed about the same;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Significantly improved;Not a barrier for me;Significantly improved;Not a barrier for me;Significantly improved;NA;NA;Strongly agree;Strongly agree;Neither agree nor disagree;I知 50% more productive when working remotely (or more)
1469;1980;Male;Between 1 and 5 years;Construction;Group household;Metro;10%;10%;Somewhat agree;Neither agree nor disagree;Somewhat agree;Neither positive nor negative;No;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat worsened;Somewhat worsened;Not a barrier for me;Somewhat worsened;Somewhat worsened;Not a barrier for me;Not a barrier for me;Significantly worsened;Stayed about the same;Stayed about the same;Interruptions;Noisy work environment;Neither agree nor disagree;Neither agree nor disagree;Somewhat disagree;I知 10% less productive when working remotely
1470;1983;Female;Between 1 and 5 years;Administrative and Support;Couple with dependent children;Regional;Less than 10% of my time;100% - All of my time;Strongly agree;Neither agree nor disagree;Neither agree nor disagree;Somewhat Positive;Yes;Significantly improved;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Not a barrier for me;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Significantly worsened;Stayed about the same;Stayed about the same;Stayed about the same;Noisy work environment;Lack of privacy;Strongly agree;Strongly agree;Neither agree nor disagree;I知 50% more productive when working remotely (or more)
1471;1993;Female;Between 1 and 5 years;Other Services;Single person;Metro;Less than 10% of my time;I would not have preferred to work remotely;Somewhat disagree;Neither agree nor disagree;Neither agree nor disagree;Somewhat Positive;No;Stayed about the same;Somewhat worsened;Stayed about the same;Significantly worsened;Significantly worsened;Somewhat worsened;Somewhat worsened;Stayed about the same;Somewhat improved;Stayed about the same;Significantly worsened;Somewhat improved;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;NA;NA;Somewhat agree;Somewhat agree;Strongly agree;I知 20% less productive when working remotely
1472;1999;Female;Between 6 and 12 months;Agriculture, Forestry and Fishing;Couple with no dependent children;Regional;20%;20%;Somewhat agree;Neither agree nor disagree;Somewhat disagree;Somewhat Positive;Yes;Significantly improved;Somewhat improved;Somewhat improved;Somewhat improved;Significantly improved;Stayed about the same;Somewhat worsened;Significantly worsened;Somewhat improved;Significantly improved;Somewhat improved;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Somewhat improved;Interruptions;Noisy work environment;Neither agree nor disagree;Strongly agree;Strongly disagree;I知 30% less productive when working remotely
1473;1987;Female;More than 5 years;Administrative and Support;Couple with dependent children;Metro;80%;80%;Strongly agree;Neither agree nor disagree;Strongly agree;Neither positive nor negative;No;Stayed about the same;Somewhat improved;Stayed about the same;Not a barrier for me;Not a barrier for me;Significantly improved;Not a barrier for me;Significantly improved;Not a barrier for me;Stayed about the same;Somewhat improved;Somewhat worsened;Not a barrier for me;Stayed about the same;Not a barrier for me;Significantly improved;NA;NA;Neither agree nor disagree;Somewhat disagree;Neither agree nor disagree;I知 10% less productive when working remotely
1474;1981;Female;Between 6 and 12 months;Construction;Couple with dependent children;Metro;30%;20%;Strongly agree;Somewhat disagree;Somewhat agree;Somewhat Negative;Yes;Somewhat improved;Somewhat improved;Stayed about the same;Somewhat improved;Stayed about the same;Somewhat improved;Significantly improved;Stayed about the same;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Somewhat improved;Stayed about the same;Somewhat improved;Somewhat improved;Difficulty collaborating with remote colleagues;Lack of privacy;Neither agree nor disagree;Neither agree nor disagree;Somewhat disagree;I知 10% less productive when working remotely
1475;1991;Female;More than 5 years;Education and Training;Group household;Metro;20%;50% - About half of my time;Somewhat agree;Strongly disagree;Strongly agree;Somewhat Negative;No;Not a barrier for me;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Difficulty collaborating with remote colleagues;Lack of privacy;Somewhat agree;Somewhat disagree;Somewhat agree;I知 30% more productive when working remotely
1476;1978;Female;More than 5 years;Other Services;Couple with dependent children;Metro;80%;80%;Strongly agree;Somewhat agree;Strongly disagree;Strongly Positive;No;Significantly improved;Not a barrier for me;Stayed about the same;Somewhat improved;Stayed about the same;Not a barrier for me;Not a barrier for me;Significantly improved;Stayed about the same;Not a barrier for me;Stayed about the same;Stayed about the same;Not a barrier for me;Stayed about the same;Significantly improved;Stayed about the same;Difficulty collaborating with remote colleagues;Lack of privacy;Somewhat agree;Somewhat disagree;Somewhat agree;I知 10% more productive when working remotely
1477;1988;Female;More than 5 years;Health Care and Social Assistance;Couple with no dependent children;Regional;100% - I spent all of my time remote working;100% - All of my time;Strongly agree;Strongly disagree;Strongly agree;Strongly Positive;No;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Interruptions;Difficulty collaborating with remote colleagues;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;My productivity is about same when I work remotely
1478;1993;Male;Between 1 and 5 years;Education and Training;Single person;Metro;20%;10%;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat Positive;Yes;Somewhat worsened;Stayed about the same;Somewhat worsened;Stayed about the same;Somewhat improved;Significantly improved;Stayed about the same;Significantly worsened;Not a barrier for me;Significantly worsened;Stayed about the same;Significantly improved;Somewhat worsened;Stayed about the same;Not a barrier for me;Somewhat improved;Lack of privacy;Difficulty collaborating with remote colleagues;Neither agree nor disagree;Somewhat disagree;Somewhat agree;I知 40% more productive when working remotely
1479;1977;Male;More than 5 years;Other Services;Couple with dependent children;Regional;20%;20%;Neither agree nor disagree;Neither agree nor disagree;Strongly agree;Strongly Positive;No;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Not a barrier for me;Not a barrier for me;Stayed about the same;Somewhat improved;Stayed about the same;Somewhat improved;Somewhat worsened;Somewhat improved;Stayed about the same;Somewhat improved;NA;NA;Somewhat agree;Somewhat agree;Somewhat disagree;I知 10% more productive when working remotely
1480;1980;Male;Between 1 and 5 years;Health Care and Social Assistance;Couple with dependent children;Metro;Less than 10% of my time;20%;Strongly disagree;Somewhat agree;Strongly agree;Somewhat Positive;Yes;Stayed about the same;Somewhat worsened;Somewhat improved;Stayed about the same;Stayed about the same;Stayed about the same;Significantly worsened;Somewhat worsened;Somewhat worsened;Stayed about the same;Somewhat worsened;Significantly worsened;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Difficulty collaborating with remote colleagues;Lack of privacy;Strongly agree;Strongly agree;Strongly disagree;I知 10% less productive when working remotely
1481;1978;Male;Between 1 and 5 years;Professional, Scientific and Technical;Couple with dependent children;Metro;70%;30%;Strongly agree;Somewhat disagree;Neither agree nor disagree;Neither positive nor negative;No;Stayed about the same;Significantly worsened;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat worsened;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat worsened;Somewhat worsened;Stayed about the same;Stayed about the same;Stayed about the same;Stayed about the same;Difficulty collaborating with remote colleagues;Lack of privacy;Somewhat disagree;Somewhat disagree;Strongly agree;I知 10% less productive when working remotely
1482;1993;Female;Between 1 and 5 years;Health Care and Social Assistance;Couple with no dependent children;Regional;70%;90%;Somewhat disagree;Somewhat agree;Neither agree nor disagree;Somewhat Positive;Yes;Stayed about the same;Somewhat worsened;Somewhat worsened;Significantly worsened;Somewhat improved;Stayed about the same;Significantly worsened;Stayed about the same;Stayed about the same;Somewhat improved;Stayed about the same;Not a barrier for me;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat improved;Lack of privacy;Noisy work environment;Somewhat agree;Somewhat agree;Somewhat disagree;I知 10% more productive when working remotely
1483;1980;Male;Between 1 and 5 years;Financial and Insurance;Couple with dependent children;Regional;30%;40%;Somewhat agree;Somewhat agree;Somewhat agree;Somewhat Negative;Yes;Somewhat improved;Stayed about the same;Somewhat improved;Significantly improved;Stayed about the same;Somewhat worsened;Stayed about the same;Somewhat improved;Somewhat worsened;Somewhat improved;Significantly improved;Stayed about the same;Significantly improved;Somewhat improved;Somewhat improved;Somewhat improved;Difficulty collaborating with remote colleagues;Interruptions;Somewhat agree;Neither agree nor disagree;Strongly agree;I知 10% more productive when working remotely
1484;1993;Female;Between 1 and 5 years;Health Care and Social Assistance;Couple with dependent children;Regional;Rarely or never;20%;Somewhat agree;Strongly disagree;Strongly agree;Strongly Positive;No;Not a barrier for me;Somewhat worsened;Somewhat worsened;Stayed about the same;Stayed about the same;Stayed about the same;Somewhat worsened;Not a barrier for me;Not a barrier for me;Stayed about the same;Not a barrier for me;Not a barrier for me;Not a barrier for me;Not a barrier for me;Significantly improved;Not a barrier for me;Interruptions;Lack of privacy;Somewhat agree;Somewhat agree;Somewhat agree;I知 40% more productive when working remotely
1485;1989;Female;More than 5 years;Financial and Insurance;Couple with dependent children;Regional;10%;60%;Somewhat agree;Neither agree nor disagree;Somewhat agree;Somewhat Positive;No;Stayed about the same;Not a barrier for me;Somewhat worsened;Stayed about the same;Somewhat worsened;Somewhat worsened;Stayed about the same;Not a barrier for me;Somewhat worsened;Significantly worsened;Not a barrier for me;Somewhat improved;Significantly worsened;Not a barrier for me;Stayed about the same;Stayed about the same;Difficulty collaborating with remote colleagues;Noisy work environment;Somewhat agree;Somewhat agree;Neither agree nor disagree;I知 30% more productive when working remotely
1486;1996;Female;Between 1 and 5 years;Construction;Couple with dependent children;Metro;100% - I spent all of my time remote working;90%;Strongly agree;Strongly disagree;Somewhat agree;Strongly Positive;Yes;Significantly improved;Significantly improved;Significantly improved;Significantly improved;Stayed about the same;Somewhat improved;Somewhat improved;Significantly improved;Not a barrier for me;Not a barrier for me;Not a barrier for me;Significantly improved;Not a barrier for me;Not a barrier for me;Not a barrier for me;Significantly improved;Difficulty collaborating with remote colleagues;Lack of privacy;Strongly agree;Strongly agree;Strongly agree;I知 50% more productive when working remotely (or more)
1487;1985;Male;More than 5 years;Health Care and Social Assistance;Couple with dependent children;Metro;80%;90%;Strongly agree;Somewhat agree;Somewhat agree;Strongly Positive;No;Significantly improved;Somewhat improved;Somewhat improved;Somewhat improved;Stayed about the same;Stayed about the same;Somewhat improved;Significantly improved;Somewhat improved;Significantly improved;Somewhat improved;Significantly improved;Somewhat improved;Significantly improved;Somewhat improved;Significantly improved;Difficulty collaborating with remote colleagues;Interruptions;Neither agree nor disagree;Strongly agree;Somewhat agree;I知 40% more productive when working remotely
